billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","E0967","HCPCS","['26']"
"professional","V5245","HCPCS","[]"
"professional","27704","CPT","[]"
"professional","82696","CPT","['TC']"
"professional","0264U","CPT","[]"
"professional","23466","CPT","['U1']"
"professional","E0218","HCPCS","['RR']"
"professional","35686","CPT","[]"
"professional","V2788","HCPCS","[]"
"professional","92283","CPT","['TC']"
"institutional","49435","CPT","[]"
"institutional","D927DZZ","ICD","[]"
"professional","84484","CPT","['U1']"
"professional","19112","CPT","[]"
"professional","E2394","HCPCS","['NU','RR','KE']"
"professional","76946","CPT","['26']"
"professional","0392U","CPT","[]"
"professional","29885","CPT","['U1']"
"institutional","36820","CPT","[]"
"professional","33916","CPT","['U1']"
"professional","64858","CPT","['U1']"
"institutional","61736","CPT","[]"
"professional","53505","CPT","[]"
"professional","E2325","HCPCS","['UE','NU','KE']"
"professional","48020","CPT","[]"
"professional","H2001","HCPCS","[]"
"institutional","0220T","CPT","[]"
"professional","K0669","HCPCS","[]"
"professional","93926","CPT","['27']"
"professional","26755","CPT","[]"
"professional","L1499","HCPCS","['NU']"
"professional","38562","CPT","[]"
"institutional","0321","MS-DRG","[]"
"professional","32606","CPT","[]"
"institutional","54220","CPT","[]"
"professional","S0512","HCPCS","[]"
"professional","15040","CPT","['U1']"
"professional","V2107","HCPCS","['NU']"
"institutional","59620","CPT","[]"
"professional","Q4030","HCPCS","[]"
"professional","A9602","HCPCS","[]"
"professional","E0250","HCPCS","['KI']"
"professional","69450","CPT","[]"
"institutional","EDUC","CSTM-ALL","[]"
"professional","K0848","HCPCS","[]"
"professional","37218","CPT","[]"
"institutional","63032","CPT","[]"
"professional","59410","CPT","[]"
"professional","76816","CPT","['TC']"
"professional","K0004","HCPCS","[]"
"professional","K0015","HCPCS","['UE']"
"professional","L8701","HCPCS","[]"
"professional","69910","CPT","[]"
"professional","94150","CPT","[]"
"professional","70496","CPT","[]"
"professional","75559","CPT","['TC']"
"professional","A5501","HCPCS","['NU']"
"professional","E2351","HCPCS","['RR']"
"professional","83518","CPT","['27']"
"professional","99285","CPT","['U9']"
"professional","E0986","HCPCS","['TC']"
"institutional","0379","MS-DRG","[]"
"professional","46947","CPT","[]"
"professional","E0187","HCPCS","['RR']"
"professional","92540","CPT","['U1']"
"professional","J9261","HCPCS","[]"
"professional","64885","CPT","[]"
"professional","81223","CPT","[]"
"professional","88240","CPT","['26']"
"professional","33426","CPT","[]"
"professional","21461","CPT","['U1']"
"institutional","46020","CPT","[]"
"professional","87623","CPT","['TC']"
"professional","28103","CPT","[]"
"professional","93461","CPT","['26']"
"professional","33966","CPT","[]"
"institutional","CHR1","CSTM-ALL","[]"
"professional","24605","CPT","['U1']"
"professional","86632","CPT","['27']"
"professional","L5964","HCPCS","['NU']"
"professional","92563","CPT","[]"
"professional","66984","CPT","[]"
"professional","A6566","HCPCS","[]"
"professional","54220","CPT","['U1']"
"institutional","50236","CPT","[]"
"professional","86430","CPT","[]"
"institutional","67903","CPT","[]"
"professional","77285","CPT","[]"
"professional","L3674","HCPCS","['NU']"
"professional","82945","CPT","['U1']"
"professional","86970","CPT","[]"
"professional","15738","CPT","[]"
"institutional","67917","CPT","[]"
"professional","J2183","HCPCS","[]"
"professional","E2340","HCPCS","['TC']"
"professional","0087U","CPT","[]"
"professional","L8042","HCPCS","['KN']"
"professional","83864","CPT","['26']"
"professional","L8440","HCPCS","['NU']"
"professional","E1225","HCPCS","['UE']"
"institutional","30110","CPT","[]"
"professional","L8512","HCPCS","[]"
"professional","15135","CPT","['U1']"
"institutional","93750","CPT","[]"
"professional","S9444","HCPCS","[]"
"professional","31527","CPT","[]"
"institutional","67030","CPT","[]"
"institutional","15825","CPT","[]"
"professional","K0051","HCPCS","['NU','RR','KE']"
"professional","61539","CPT","[]"
"professional","11106","CPT","[]"
"professional","84591","CPT","['27']"
"professional","21146","CPT","[]"
"professional","76514","CPT","['U1']"
"professional","J2997","HCPCS","[]"
"professional","Q2049","HCPCS","[]"
"professional","27197","CPT","[]"
"professional","J9072","HCPCS","[]"
"professional","0171U","CPT","[]"
"professional","86747","CPT","['27']"
