billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,86308,CPT,['TC'],ALLOW,ok,
professional,99387,CPT,[],ALLOW,ok,
professional,76125,CPT,['26'],ALLOW,ok,
professional,62367,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
institutional,45400,CPT,[],ALLOW,ok,
professional,33764,CPT,[],ALLOW,ok,
professional,K0837,HCPCS,['KH'],ALLOW,ok,
professional,27637,CPT,[],ALLOW,ok,
professional,85230,CPT,['U1'],ALLOW,ok,
professional,E0250,HCPCS,['RR'],ALLOW,ok,
professional,E2361,HCPCS,"['NU','RR','KE']",ALLOW,ok,
professional,25260,CPT,['U1'],ALLOW,ok,
institutional,48000,CPT,[],ALLOW,ok,
institutional,45305,CPT,[],ALLOW,ok,
institutional,C7553,HCPCS,[],ALLOW,ok,
professional,K0019,HCPCS,"['UE','KE']",ALLOW,ok,
professional,L0999,HCPCS,['NU'],ALLOW,ok,
professional,80408,CPT,['TC'],ALLOW,ok,
professional,88358,CPT,['TC'],ALLOW,ok,
professional,15823,CPT,['U1'],ALLOW,ok,
institutional,27036,CPT,[],ALLOW,ok,
professional,81310,CPT,[],ALLOW,ok,
professional,86316,CPT,['26'],ALLOW,ok,
professional,66172,CPT,['U1'],ALLOW,ok,
professional,33619,CPT,[],ALLOW,ok,
institutional,0906,MS-DRG,[],ALLOW,ok,
professional,84402,CPT,[],ALLOW,ok,
professional,92508,CPT,['U1'],ALLOW,ok,
professional,93292,CPT,[],ALLOW,ok,
professional,43226,CPT,[],ALLOW,ok,
professional,91122,CPT,['U1'],ALLOW,ok,
professional,12018,CPT,[],ALLOW,ok,
professional,83550,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,J9052,HCPCS,[],ALLOW,ok,
professional,67335,CPT,[],ALLOW,ok,
professional,K0020,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,27329,CPT,['U1'],ALLOW,ok,
institutional,27727,CPT,[],ALLOW,ok,
professional,80416,CPT,['26'],ALLOW,ok,
professional,88346,CPT,['26'],ALLOW,ok,
professional,35884,CPT,[],ALLOW,ok,
professional,67039,CPT,[],ALLOW,ok,
professional,87086,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,72200,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,21497,CPT,[],ALLOW,ok,
professional,81025,CPT,['TC'],ALLOW,ok,
professional,28585,CPT,['U1'],ALLOW,ok,
professional,27446,CPT,[],ALLOW,ok,
